155	642
169	634
176	636
242	647
267	649
275	645
297	649
319	641
358	653
385	633
438	630
489	645
519	647
553	669
558	661
583	667
616	661
638	654
670	643
702	651
731	659
763	658
823	651
876	666
915	656
959	655
984	662
1041	689
1050	685
1061	681
1071	670
1073	662
1117	684
1147	693
1167	697
1201	691
1252	668
1257	667
1261	678
1279	694
1308	698
1331	680
1350	677
1354	670
1360	677
1391	683.5
1412	673
1430	705
1431	679
1450	693
1470	679
1503	700
1531	707
1533	700
1549	707
1551	711
1561	722
1574	692
1575	693
1589	681
1592	672
1604	675
1610	688
1630	693
1641	696
1650	682
1683	699
1691	693
1695	683
1704	688
1711	663
1720	677
1724	681.5
1730	703
1735	712
1742	715
1747	712
1750	700
1752	713
1753	705.5
1761	715
1764	710
1765	715
1774	730
1780	722
1781	727
1795	727
1797	728
1800	737.5
1811	746
1815	741.5
1820	756
1822	755
1826	761
1827	764
1828	764
1833	764
1834	777
1838	775
1839	760
1840	765.5
1841	769
1842	776
1843	770
1844	771
1845	783
1846	777.5
1847	781
1848	773
1849	779
1851	777
1852	785.6666667
1853	778
1855	797
1856	781
1858	792
1860	792.5
1862	790
1863	799
1864	808.5
1865	808
1868	818.6666667
1869	813
1870	820
1871	824.5
1874	828
1875	833
1877	811
1878	832
1881	835
1884	838
1885	852
1887	853
1888	843.6666667
1889	843
1890	855
1891	856
1894	864.5
1895	867.5
1898	863
1900	876
1901	880
1902	878
1903	878.5
1905	896
1907	896.5
1908	900.5
1910	947
1912	927.3333333
1914	932
1916	938
1917	941
1919	966.75
1920	971
1921	962
1924	998.5
1926	1001.5
1927	1003.5
1929	1021
1930	1021
1931	1028
1932	1035.5
1934	1040.666667
1935	1051
1936	1057
1937	1063
1938	1069.333333
1939	1069.666667
1940	1072.285714
1941	1071.5
1942	1082.666667
1943	1084.5
1944	1090
1945	1088.333333
1946	1108.5
1947	1097
1948	1108.5
1949	1113.5
1950	1106
1951	1118
1954	1153
1955	1155.75
1956	1176.75
1957	1188
1958	1201
1959	1196.5
1960	1214
1962	1227
1963	1240
1964	1273.4
1965	1275.5
1967	1296.5
1968	1335
1969	1326
1970	1360
1971	1375
1972	1396
1973	1418
1974	1417
1975	1437
1976	1479
1977	1476
1979	1518
1980	1496.5
1983	1579.698632
1984	1598.04466
1985	1605.097077
1986	1619.264737
1987	1627.358788
1988	1642.5247
1989	1651.662769
1990	1667.961333
1991	1672.638391
1992	1689.347981
1993	1688.251083
1994	1692.593846
1995	1698.624928
1996	1701.080833
1997	1710.379286
1998	1714.356017
1999	1725.747252
2000	1728.248821
2001	1726.156871
2002	1729.348526
2003	1728.004371
2004	1727.894345
2005	1725.859128
2006	1725.077881
2007	1726.286311
2008	1739.58493
2009	1742.885594
2010	1749.066084
2011	1756.3605
2012	1761.062286
2013	1765.49931
2014	1773.195874
2015	1783.967133
2016	1791.503592
2017	1797.565972
2018	1809.832254
2019	1815.492786
2020	1823.826449
2021	1838.80021
2022	1857.280342
2023	1868.029417
2024	1874.12396
2025	1882.24124
